2017/04/12/oakmlb-kcamlb-1,24380,oak,kca,"Kauffman Stadium",1492042500,R,F,0
2017/04/12/sdnmlb-colmlb-1,20968,sdn,col,"Coors Field",1492020600,R,F,0
2017/04/12/slnmlb-wasmlb-1,31647,sln,was,"Nationals Park",1492031160,R,F,0
2017/04/12/tbamlb-nyamlb-1,38002,tba,nya,"Yankee Stadium",1492020600,R,F,1
2017/04/12/texmlb-anamlb-1,34599,tex,ana,"Angel Stadium of Anaheim",1492042020,R,F,0
2017/04/13/balmlb-tormlb-1,32957,bal,tor,"Rogers Centre",1492128480,R,F,0
2017/04/13/chamlb-clemlb-1,15060,cha,cle,"Progressive Field",1492125060,R,F,0
2017/04/13/colmlb-sfnmlb-1,41915,col,sfn,"AT&T Park",1492128900,R,F,0
2017/04/13/lanmlb-chnmlb-1,38379,lan,chn,"Wrigley Field",1492107600,R,F,1
2017/04/13/milmlb-cinmlb-1,13574,mil,cin,"Great American Ball Park",1492128600,R,F,0
2017/04/13/minmlb-detmlb-1,22573,min,det,"Comerica Park",1492107000,R,F,0
2017/04/13/nynmlb-miamlb-1,23192,nyn,mia,"Marlins Park",1492128720,R,F,0
2017/04/13/oakmlb-kcamlb-1,22160,oak,kca,"Kauffman Stadium",1492128900,R,F,1
2017/04/13/pitmlb-bosmlb-1,32400,pit,bos,"Fenway Park",1492110360,R,F,1
2017/04/13/tbamlb-nyamlb-1,34772,tba,nya,"Yankee Stadium",1492128480,R,F,1
2017/04/13/texmlb-anamlb-1,30255,tex,ana,"Angel Stadium of Anaheim",1492105080,R,F,0
2017/04/14/anamlb-kcamlb-1,26838,ana,kca,"Kauffman Stadium",1492215300,R,F,1
2017/04/14/arimlb-lanmlb-1,49438,ari,lan,"Dodger Stadium",1492215000,R,F,1
2017/04/14/balmlb-tormlb-1,39547,bal,tor,"Rogers Centre",1492214880,R,F,0
2017/04/14/chamlb-minmlb-1,18466,cha,min,"Target Field",1492217160,R,F,0
2017/04/14/colmlb-sfnmlb-1,42738,col,sfn,"AT&T Park",1492215360,R,F,1
2017/04/14/detmlb-clemlb-1,25423,det,cle,"Progressive Field",1492215060,R,F,0
2017/04/14/houmlb-oakmlb-1,15385,hou,oak,"Oakland Coliseum",1492214820,R,F,0
2017/04/14/milmlb-cinmlb-1,23850,mil,cin,"Great American Ball Park",1492215000,R,F,0
2017/04/14/nynmlb-miamlb-1,24194,nyn,mia,"Marlins Park",1492215000,R,F,1
2017/04/14/phimlb-wasmlb-1,38664,phi,was,"Nationals Park",1492203900,R,F,1
2017/04/14/pitmlb-chnmlb-1,40430,pit,chn,"Wrigley Field",1492194060,R,F,0
2017/04/14/sdnmlb-atlmlb-1,41149,sdn,atl,"SunTrust Park",1492217580,R,F,1
2017/04/14/slnmlb-nyamlb-1,39102,sln,nya,"Yankee Stadium",1492214940,R,F,1
2017/04/14/tbamlb-bosmlb-1,36813,tba,bos,"Fenway Park",1492215000,R,F,0
2017/04/14/texmlb-seamlb-1,41855,tex,sea,"Safeco Field",1492215000,R,F,1
2017/04/15/anamlb-kcamlb-1,24162,ana,kca,"Kauffman Stadium",1492298100,R,F,1
2017/04/15/arimlb-lanmlb-1,48070,ari,lan,"Dodger Stadium",1492297860,R,F,1
2017/04/15/balmlb-tormlb-1,40743,bal,tor,"Rogers Centre",1492279740,R,F,1
2017/04/15/chamlb-minmlb-1,25938,cha,min,"Target Field",1492279800,R,F,1
2017/04/15/colmlb-sfnmlb-1,42371,col,sfn,"AT&T Park",1492279560,R,F,0
2017/04/15/detmlb-clemlb-1,26691,det,cle,"Progressive Field",1492290480,R,F,1
2017/04/15/houmlb-oakmlb-1,20140,hou,oak,"Oakland Coliseum",1492279620,R,F,0
2017/04/15/milmlb-cinmlb-1,31008,mil,cin,"Great American Ball Park",1492279860,R,F,1
2017/04/15/nynmlb-miamlb-1,25137,nyn,mia,"Marlins Park",1492301520,R,F,1
2017/04/15/phimlb-wasmlb-1,35626,phi,was,"Nationals Park",1492279500,R,F,0
2017/04/15/pitmlb-chnmlb-1,41814,pit,chn,"Wrigley Field",1492280460,R,F,0
2017/04/15/sdnmlb-atlmlb-1,41149,sdn,atl,"SunTrust Park",1492301520,R,F,1
2017/04/15/slnmlb-nyamlb-1,43031,sln,nya,"Yankee Stadium",1492279740,R,F,1
2017/04/15/tbamlb-bosmlb-1,36686,tba,bos,"Fenway Park",1492290360,R,F,1
2017/04/15/texmlb-seamlb-1,34927,tex,sea,"Safeco Field",1492297860,R,F,1
2017/04/16/anamlb-kcamlb-1,27950,ana,kca,"Kauffman Stadium",1492366620,R,F,1
2017/04/16/arimlb-lanmlb-1,39822,ari,lan,"Dodger Stadium",1492366260,R,F,0
2017/04/16/balmlb-tormlb-1,38188,bal,tor,"Rogers Centre",1492366020,R,F,0
2017/04/16/chamlb-minmlb-1,19511,cha,min,"Target Field",1492373580,R,F,0
2017/04/16/colmlb-sfnmlb-1,41455,col,sfn,"AT&T Park",1492365900,R,F,0
2017/04/16/detmlb-clemlb-1,17739,det,cle,"Progressive Field",1492366260,R,F,0
2017/04/16/milmlb-cinmlb-1,12625,mil,cin,"Great American Ball Park",1492366200,R,F,0
2017/04/16/nynmlb-miamlb-1,20028,nyn,mia,"Marlins Park",1492366200,R,F,1
2017/04/16/phimlb-wasmlb-1,29774,phi,was,"Nationals Park",1492367760,R,F,1
2017/04/16/pitmlb-chnmlb-1,39422,pit,chn,"Wrigley Field",1492366920,R,F,0
2017/04/16/sdnmlb-atlmlb-1,37147,sdn,atl,"SunTrust Park",1492367760,R,F,1
2017/04/16/slnmlb-nyamlb-1,31706,sln,nya,"Yankee Stadium",1492391280,R,F,1
2017/04/16/tbamlb-bosmlb-1,36209,tba,bos,"Fenway Park",1492367700,R,F,1
2017/04/16/texmlb-seamlb-1,19678,tex,sea,"Safeco Field",1492366200,R,F,1
2017/04/17/anamlb-houmlb-1,23501,ana,hou,"Minute Maid Park",1492474200,R,F,1
2017/04/17/arimlb-lanmlb-1,35448,ari,lan,"Dodger Stadium",1492474200,R,F,0
2017/04/17/chamlb-nyamlb-1,28181,cha,nya,"Yankee Stadium",1492474140,R,F,1
2017/04/17/clemlb-minmlb-1,16961,cle,min,"Target Field",1492474260,R,F,0
2017/04/17/miamlb-seamlb-1,16990,mia,sea,"Safeco Field",1492474260,R,F,1
2017/04/17/milmlb-chnmlb-1,38636,mil,chn,"Wrigley Field",1492474020,R,F,0
2017/04/17/pitmlb-slnmlb-1,40172,pit,sln,"Busch Stadium",1492470540,R,F,1
2017/04/17/sdnmlb-atlmlb-1,24516,sdn,atl,"SunTrust Park",1492475760,R,F,1
2017/04/17/tbamlb-bosmlb-1,37318,tba,bos,"Fenway Park",1492445160,R,F,1
2017/04/17/texmlb-oakmlb-1,10406,tex,oak,"Oakland Coliseum",1492474500,R,F,0
2017/04/18/anamlb-houmlb-1,21760,ana,hou,"Minute Maid Park",1492560600,R,F,0
2017/04/18/arimlb-sdnmlb-1,19869,ari,sdn,"Petco Park",1492560600,R,F,0
2017/04/18/balmlb-cinmlb-1,16018,bal,cin,"Great American Ball Park",1492560660,R,F,1
2017/04/18/bosmlb-tormlb-1,29281,bos,tor,"Rogers Centre",1492560540,R,F,0
2017/04/18/chamlb-nyamlb-1,30075,cha,nya,"Yankee Stadium",1492560480,R,F,0
2017/04/18/clemlb-minmlb-1,16553,cle,min,"Target Field",1492560600,R,F,0
2017/04/18/colmlb-lanmlb-1,37960,col,lan,"Dodger Stadium",1492560600,R,F,0
2017/04/18/detmlb-tbamlb-1,16265,det,tba,"Tropicana Field",1492560600,R,F,1
2017/04/18/miamlb-seamlb-1,16126,mia,sea,"Safeco Field",1492560600,R,F,0
2017/04/18/milmlb-chnmlb-1,39026,mil,chn,"Wrigley Field",1492560300,R,F,1
2017/04/18/phimlb-nynmlb-1,23536,phi,nyn,"Citi Field",1492560600,R,F,0
2017/04/18/pitmlb-slnmlb-1,38806,pit,sln,"Busch Stadium",1492560900,R,F,1
2017/04/18/sfnmlb-kcamlb-1,20863,sfn,kca,"Kauffman Stadium",1492560900,R,F,0
2017/04/18/texmlb-oakmlb-1,12091,tex,oak,"Oakland Coliseum",1492560420,R,F,1
2017/04/18/wasmlb-atlmlb-1,21834,was,atl,"SunTrust Park",1492562160,R,F,0
2017/04/19/anamlb-houmlb-1,24028,ana,hou,"Minute Maid Park",1492647120,R,F,1
2017/04/19/arimlb-sdnmlb-1,17089,ari,sdn,"Petco Park",1492647060,R,F,1
2017/04/19/balmlb-cinmlb-1,15083,bal,cin,"Great American Ball Park",1492647000,R,F,0
2017/04/19/bosmlb-tormlb-1,30842,bos,tor,"Rogers Centre",1492646880,R,F,1
2017/04/19/chamlb-nyamlb-1,30014,cha,nya,"Yankee Stadium",1492647000,R,F,1
2017/04/19/colmlb-lanmlb-1,45474,col,lan,"Dodger Stadium",1492647060,R,F,1
2017/04/19/detmlb-tbamlb-1,12281,det,tba,"Tropicana Field",1492647000,R,F,1
2017/04/19/miamlb-seamlb-1,27147,mia,sea,"Safeco Field",1492623660,R,F,1
2017/04/19/milmlb-chnmlb-1,34864,mil,chn,"Wrigley Field",1492629300,R,F,1
2017/04/19/phimlb-nynmlb-1,22243,phi,nyn,"Citi Field",1492646940,R,F,1
2017/04/19/pitmlb-slnmlb-1,40182,pit,sln,"Busch Stadium",1492623900,R,F,1
2017/04/19/sfnmlb-kcamlb-1,24402,sfn,kca,"Kauffman Stadium",1492647300,R,F,1
2017/04/19/texmlb-oakmlb-1,14031,tex,oak,"Oakland Coliseum",1492623420,R,F,1
2017/04/19/wasmlb-atlmlb-1,22101,was,atl,"SunTrust Park",1492648560,R,F,0
2017/04/20/anamlb-houmlb-1,23173,ana,hou,"Minute Maid Park",1492711860,R,F,1
2017/04/20/arimlb-sdnmlb-1,17831,ari,sdn,"Petco Park",1492729800,R,F,1
2017/04/20/balmlb-cinmlb-1,11910,bal,cin,"Great American Ball Park",1492733400,R,F,0
2017/04/20/bosmlb-tormlb-1,44283,bos,tor,"Rogers Centre",1492709820,R,F,0
2017/04/20/clemlb-minmlb-1,17339,cle,min,"Target Field",1492708260,R,F,0
2017/04/20/detmlb-tbamlb-1,13267,det,tba,"Tropicana Field",1492711860,R,F,1
2017/04/20/kcamlb-texmlb-1,26898,kca,tex,"Globe Life Park in Arlington",1492733160,R,F,1
2017/04/20/phimlb-nynmlb-1,24656,phi,nyn,"Citi Field",1492733460,R,F,0
2017/04/20/seamlb-oakmlb-1,10707,sea,oak,"Oakland Coliseum",1492733280,R,F,1
2017/04/20/slnmlb-milmlb-1,26451,sln,mil,"Miller Park",1492733400,R,F,1
2017/04/20/wasmlb-atlmlb-1,27498,was,atl,"SunTrust Park",1492734960,R,F,0
2017/04/21/atlmlb-phimlb-1,24189,atl,phi,"Citizens Bank Park",1492819740,R,F,1
2017/04/21/bosmlb-balmlb-1,34442,bos,bal,"Oriole Park at Camden Yards",1492819620,R,F,1
2017/04/21/chnmlb-cinmlb-1,29350,chn,cin,"Great American Ball Park",1492819800,R,F,0
